coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
DEV MUS354: Rock II,72360000000005042,1,0,1,1,18,18,0,5,16,0,8,0,1,5,0,5,1,0
DDev-canvas-4-amhurtad,72360000000007237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRJ 100: Intro to Criminal Justice (2018 Fall - B),72360000000005408,5,0,7,1,23,23,0,7,44,0,4496,0,0,0,3,0,0,56
REL 202: Religion and Popular Culture (2019 Spring - A),72360000000005528,2,0,5,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0
DEV-2019Spring-ASUO-ITA201,72360000000007539,31,0,6,1,17,17,0,19,51,0,72,0,0,0,4,0,0,0
MGT 588: Strategic Leadership (2018 Fall - 73614),72360000000002967,10,0,0,1,16,16,0,3,0,0,31,0,1,5,5,0,2,45
LDE 261: Landscape Arch Design Fund III (2018 Fall),72360000000005221,1,0,0,1,5,5,0,0,0,0,1,0,0,0,0,0,0,14
MGT 411: Leading Organizations (2018 Fall),72360000000004372,9,1,0,1,12,12,0,11,10,18,34,10,4,41,3,1,0,45
Dev-canvas-4-clreid2,72360000000005552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV - HST 304: The Holocaust - F2F,72360000000008068,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-mhegmon,72360000000005962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO 584: Internship (2019 Spring),72360000000006386,0,0,0,1,2,1,1,4,20,0,32,0,0,0,5,0,0,0
Nina Berman's Sandbox,72360000000002007,0,0,1,1,2,2,0,1,2,0,4,0,0,0,0,0,0,0
DEV-NTR598-smayolkr,72360000000002638,10,0,2,1,10,10,0,7,67,0,40,0,0,0,3,0,0,0
"HST 304: Thirty Years War, 1618-1648 (2018 Fall - B)",72360000000001714,14,21,10,1,19,19,0,8,28,0,22,3,7,54,6,0,2,69
Curriculum Development,72360000000004810,1,0,1,1,0,0,0,1,12,0,42,0,0,0,0,0,0,0
PHI 403: Contemp Analytic Philosophy (2018 Fall - B),72360000000002679,7,0,15,1,32,32,0,9,58,0,56,0,1,1,3,2,0,23
CEE 212 Engineering Mechanics II - Dynamics,72360000000001287,1,0,0,1,3,3,0,5,47,0,138,0,1,2,0,0,0,0
CHM 114 Laboratory Spring 2019,72360000000007497,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS 573: Sust Energy III: Futures (2018 Fall),72360000000002665,7,0,10,1,13,13,0,5,32,1,198,0,0,0,0,2,0,6
Sylwia's Sandbox Course,72360000000000560,1,0,1,1,0,0,0,3,3,0,3,1,0,0,0,0,1,0
"PSY 451 Stereotyping, Prejudice, and Discrimination",72360000000007815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPA 419,72360000000006623,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENT 305: Princ of Entrepreneurship (2018 Fall),72360000000004274,2,0,0,1,9,9,0,9,6,0,27,0,0,0,0,13,2,15
MGT 502: ProFlex MBA Org Theory/Behavior (2018 Fall - DYN),72360000000002769,11,0,0,1,15,15,0,11,24,9,52,13,1,1,5,0,1,57
Alexandra's Canvas Sandbox,72360000000001477,0,0,3,1,4,4,0,2,21,0,3,1,0,0,4,0,0,0
LIA 101: Student Success in CLAS (2018 Fall),72360000000004000,9,0,12,1,31,31,0,12,22,6,25,0,0,0,0,2,0,19
ART 394: Non-Major Digital Photography (2018 Fall),72360000000004477,0,0,0,1,19,19,0,11,27,4,60,0,1,4,0,0,0,20
LGarza Training,72360000000005682,0,0,1,1,2,2,0,2,5,0,0,0,0,0,0,0,0,0
"ECD 549: Found Div, Human Dev ",72360000000005894,8,25,9,4,18,18,0,9,32,8,56,3,1,1,4,0,4,153
ECN 211: Macroeconomic Principles (2018 Fall) 91501,72360000000002145,1,0,0,1,34,34,0,16,51,0,21,0,0,0,3,15,2,92
MIC 425: Advanced Immunology (2019 Spring),72360000000006579,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DEV-PAF506-MasterCourse,72360000000006422,0,0,12,1,30,30,0,1,157,0,458,0,0,0,3,0,0,0
WAC 107: Intro to Academic Writing (2018 Fall),72360000000003895,2,0,0,1,0,0,0,4,22,0,2,0,0,0,0,0,0,56
Rodney Gemoll Dev Shell,72360000000000077,0,9,3,12,20,20,0,4,22,1,97,10,0,0,0,0,9,17
SOS 320: Society and Sustainability (2018 Fall),72360000000002666,2,0,1,1,24,24,0,20,100,67,57,6,4,13,0,0,1,20
DEV - REL 405: Cosmogony Eschatology Apocalypse - F2F,72360000000006463,0,0,1,1,3,3,0,0,4,0,5,0,0,0,0,0,0,0
MHL 691: 1920s American Music (2018 Fall),72360000000003229,3,0,0,1,9,9,0,2,14,0,13,0,0,0,0,0,0,7
Martha Steinacker Canvas Sandbox,72360000000003014,2,0,3,1,29,29,0,18,296,0,23,0,0,0,0,0,0,0
Secondary Education Program Resources,72360000000004989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV - REL 691: Anthropological Theories of Religion - F2F,72360000000006968,0,0,1,1,3,3,0,0,4,0,5,0,0,0,0,0,0,0
Summer '15 Brazil: HR,72360000000001843,7,0,4,1,9,9,0,9,22,0,20,0,0,0,0,0,0,0
SCM 432: Control Sys-Supply Chain Mgmt (2018 Fall)- Konopka,72360000000002596,9,0,1,1,14,14,0,12,10,9,137,28,1,3,2,3,1,152
EXW 448: Foundations of School HED (2019 Spring - B),72360000000007678,11,0,2,1,16,16,0,35,95,0,67,0,0,0,4,0,0,0
DEV-CRJ408-MasterCourse,72360000000007183,0,0,6,1,10,10,0,1,54,0,243,0,0,0,3,0,0,0
TWC 506: Research Design ,72360000000005067,12,0,4,1,25,25,0,8,29,0,26,0,0,0,7,0,0,3
SDO 598: Environmental Law - Masters (2018 Fall - A),72360000000001768,0,0,6,1,14,14,0,9,27,0,26,0,7,31,7,0,0,12
MAT 210: Brief Calculus (2018 Fall),72360000000003422,11,0,0,1,22,22,0,0,3,2,5,0,0,0,0,0,0,131
SDO 598: Patent Law - Masters (2018 Fall - B),72360000000001980,9,0,10,1,17,17,0,9,72,0,49,0,2,2,3,0,0,20
LIA 101: Student Success in CLAS (2018 Fall),72360000000003922,10,0,12,1,31,31,0,12,22,18,26,0,0,0,0,2,0,22
Dev-canvas-4-mjkuzel,72360000000006789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POS 210: Political Ideologies (2019 Spring),72360000000005698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISS Grad Students,72360000000006520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASU 11: Online Orientation -- 9/17-9/23/18 - 80701,72360000000005145,9,0,2,1,8,7,1,6,82,2,436,0,0,0,4,0,1,70
LIA 101: Student Success in CLAS (2018 Fall),72360000000004016,21,0,12,1,31,31,0,12,22,8,25,0,0,0,0,2,1,24
Dev-canvas-4-ddownin,72360000000006289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV-CPP494-MasterCourse,72360000000007713,0,0,16,1,33,33,0,1,22,0,95,0,0,0,3,0,0,0
